id,name,oldCategory,oldSubcategory,newMainCategory,newSubcategory,tags,needsReview
"iota-plain-cross-20cm-17","صليب يوتا سادة 20 سم - موديل 17","crosses","wooden-crosses","crosses","wooden-crosses","يوتا | صلبان يوتا | صليب سادة | خشب زان | 20 سم | أيقونات صغيرة | أيقونات وهدايا","false"
"custom-1783032232212","لون تلوين اليوتا","occasions-service","christian-games","occasions-service","christian-games","يوتا | تلوين | يوطا","false"
"custom-1782980654479-copy-1782982056347-copy-1782986984554-copy-1783007327699-copy-1783007378119-copy-1783007431642-copy-1783007465321","صليب يوتا مادلية موديل 7","crosses","wooden-crosses","crosses","wooden-crosses","يوتا | مادليات | خشب طبقات | فن | تلوين | يوطا | الأيقونات والبراويز | أيقونات صغيرة | أيقونات وهدايا","false"
"custom-1782980654479-copy-1782982056347-copy-1782986984554-copy-1783007327699-copy-1783007378119-copy-1783007431642","صليب يوتا مادلية موديل 6","crosses","wooden-crosses","crosses","wooden-crosses","يوتا | مادليات | خشب طبقات | فن | تلوين | يوطا | الأيقونات والبراويز | أيقونات صغيرة | أيقونات وهدايا","false"
"custom-1782980654479-copy-1782982056347-copy-1782986984554-copy-1783007327699-copy-1783007378119","صليب يوتا مادلية موديل 5","crosses","wooden-crosses","crosses","wooden-crosses","يوتا | مادليات | خشب طبقات | فن | تلوين | يوطا | الأيقونات والبراويز | أيقونات صغيرة | أيقونات وهدايا","false"
"custom-1782980654479-copy-1782982056347-copy-1782986984554-copy-1783007327699","صليب يوتا مادلية موديل 4","crosses","wooden-crosses","crosses","wooden-crosses","يوتا | مادليات | خشب طبقات | فن | تلوين | يوطا | الأيقونات والبراويز | أيقونات صغيرة | أيقونات وهدايا","false"
"custom-1782980654479-copy-1782982056347-copy-1782986984554","صليب يوتا مادلية موديل 3","crosses","wooden-crosses","crosses","wooden-crosses","يوتا | مادليات | خشب طبقات | فن | تلوين | يوطا | الأيقونات والبراويز | أيقونات صغيرة | أيقونات وهدايا","false"
"custom-1782980654479-copy-1782982056347","صليب يوتا مادلية موديل 2","crosses","wooden-crosses","crosses","wooden-crosses","يوتا | مادليات | خشب طبقات | فن | تلوين | يوطا | الأيقونات والبراويز | أيقونات صغيرة | أيقونات وهدايا","false"
"custom-1782980654479","صليب يوتا مادلية موديل 1","crosses","wooden-crosses","crosses","wooden-crosses","يوتا | مادليات | خشب طبقات | فن | تلوين | يوطا | الأيقونات والبراويز | أيقونات صغيرة | أيقونات وهدايا","false"
"custom-1782306615168-copy-1782306883366-copy-1782307173548-copy-1782307256776-copy-1782307341493-copy-1782310276272-copy-1782310382795-copy-1782310383710","قطمارس البصخة – عربي – دير الشهيد العظيم مارمينا العجائبي بمريوط","books-rituals","katameros","books-rituals","katameros","كتب | كتاب مقدس | إنجيل | قراءات | books | قطمارس | الكتب والطقوس","false"
"custom-1782306615168-copy-1782306883366-copy-1782307173548-copy-1782307256776-copy-1782307341493-copy-1782310276272-copy-1782310382795","قطمارس الصوم الكبير – عربي– دير الشهيد العظيم مارمينا العجائبي بمريوط - نسخة","books-rituals","katameros","books-rituals","katameros","كتب | كتاب مقدس | إنجيل | قراءات | books | قطمارس | الكتب والطقوس","false"
"custom-1782306615168-copy-1782306883366-copy-1782307173548-copy-1782307256776-copy-1782307341493-copy-1782310276272","قطمارس الخمسين – قبطي – دير الشهيد العظيم مارمينا العجائبي بمريوط","books-rituals","katameros","books-rituals","katameros","كتب | كتاب مقدس | إنجيل | قراءات | books | قطمارس | الكتب والطقوس","false"
"custom-1782306615168-copy-1782306883366-copy-1782307173548-copy-1782307256776-copy-1782307341493","قطمارس الخمسين – عربي – دير الشهيد العظيم مارمينا العجائبي بمريوط","books-rituals","katameros","books-rituals","katameros","كتب | كتاب مقدس | إنجيل | قراءات | books | قطمارس | الكتب والطقوس","false"
"custom-1782306615168-copy-1782306883366-copy-1782307173548-copy-1782307256776","قطمارس الآحاد – عربي – دير الشهيد العظيم مارمينا العجائبي بمريوط","books-rituals","katameros","books-rituals","katameros","كتب | كتاب مقدس | إنجيل | قراءات | books | قطمارس | الكتب والطقوس","false"
"custom-1782306615168-copy-1782306883366-copy-1782307173548","قطمارس الآحاد – قبطي – دير الشهيد العظيم مارمينا العجائبي بمريوط","books-rituals","katameros","books-rituals","katameros","كتب | كتاب مقدس | إنجيل | قراءات | books | قطمارس | الكتب والطقوس","false"
"custom-1782306615168-copy-1782306883366","قطمارس الأيام السنوي – قبطي – دير الشهيد العظيم مارمينا العجائبي بمريوط","books-rituals","katameros","books-rituals","katameros","كتب | كتاب مقدس | إنجيل | قراءات | books | قطمارس | الكتب والطقوس","false"
"custom-1782306615168","قطمارس الأيام السنوي – عربي – نسخة دير الشهيد العظيم مارمينا العجائبي بمريوط","books-rituals","katameros","books-rituals","katameros","كتب | كتاب مقدس | إنجيل | قراءات | books | قطمارس | الكتب والطقوس","false"
"custom-1782079632185","شمع أيقونات","candles-lamps","church-candles","candles-lamps","church-candles","شمع | candles | الشمع والبخور | شموع","false"
"old-10123915690291","علبة بخور نحاس ذهبي بصليب","censers-incense","church-incense","censers-incense","church-incense","نحاسيات | علب بخور | brass | الشمع والبخور | أطقم بخور","false"
"old-10123914805555","علبة بخور نحاس فضي بصليب","censers-incense","church-incense","censers-incense","church-incense","نحاسيات | علب بخور | brass | الشمع والبخور | أطقم بخور","false"
"old-10123913003315","علبة بخور نحاس فضي فص ملون","censers-incense","church-incense","censers-incense","church-incense","نحاسيات | علب بخور | brass | الشمع والبخور | أطقم بخور","false"
"old-10121340551475","تريانتو ستانلس","altar-vessels","service-plates","altar-vessels","service-plates","دفوف وتريانتو | الحجم | المقاس | brass | أدوات المذبح | أدوات خدمة","false"
"old-10121339568435","دف 18 سم نحاس ذهبي تقيل","altar-vessels","service-plates","altar-vessels","service-plates","دفوف وتريانتو | الحجم | المقاس | brass | أدوات المذبح | أدوات خدمة","false"
"old-10121173303603","جراب للكتاب المقدس","books-rituals","liturgy-books","books-rituals","book-accessories","كتب وطقوس | جرابات كتاب مقدس | الحجم | اللون | المقاس | books | الكتب والطقوس | كتب طقسية","false"
"old-10120837660979","صليب زفة نحاس طبقتين بفصوص ملونة","crosses","processional-crosses","crosses","processional-crosses","صلبان زفة | brass | أدوات المذبح | صلبان مذبح","false"
"old-10120837300531","صليب زفة نحاس طبقتين","crosses","processional-crosses","crosses","processional-crosses","صلبان زفة | brass | أدوات المذبح | صلبان مذبح","false"
"old-10120836481331","صليب زفة نحاس رفيع بفص ألوان","crosses","processional-crosses","crosses","processional-crosses","صلبان زفة | brass | أدوات المذبح | صلبان مذبح","false"
"old-10120836317491","صليب زفة نحاس أركت بالمصلوب","crosses","processional-crosses","crosses","processional-crosses","صلبان زفة | brass | أدوات المذبح | صلبان مذبح","false"
"old-10120834908467","صليب زفة نحاس أركت ذهبي","crosses","processional-crosses","crosses","processional-crosses","صلبان زفة | brass | أدوات المذبح | صلبان مذبح","false"
"old-10070727688499","شمعدان مذبح كبير","candles-lamps","candlesticks","candles-lamps","candlesticks","شموع وبخور | شغل شحن | candles | أدوات المذبح | شمعدانات","false"
"old-10070727000371","شمعة شحن","candles-lamps","church-candles","candles-lamps","church-candles","شغل شحن | اللون | brass | الشمع والبخور | شموع","false"
"old-10070726574387","شمعة شماس شكل صليب","candles-lamps","church-candles","candles-lamps","church-candles","شغل شحن | brass | الشمع والبخور | شموع","false"
"old-10070704980275","شمعدان منجلية","candles-lamps","candlesticks","candles-lamps","candlesticks","شموع وبخور | شغل شحن | اللون | candles | أدوات المذبح | شمعدانات","false"
"old-10070671687987","صليب إفنوتي شحن بالوصلة","crosses","altar-crosses","crosses","altar-crosses","شغل شحن | color | اللون | brass | أدوات المذبح | صلبان مذبح","false"
"old-10068218806579","حُق ذخيرة كبير نحاس مطلي نيكل","altar-vessels","relic-boxes","altar-vessels","relic-boxes","حُق ذخيرة | brass | أدوات المذبح | ذخائر وعلب","false"
"old-10068217561395","حُق ذخيرة صغير نحاس مطلي نيكل","altar-vessels","relic-boxes","altar-vessels","relic-boxes","حُق ذخيرة | brass | أدوات المذبح | ذخائر وعلب","false"
"old-10068215628083","حُق ذخيرة استانلس صغير","altar-vessels","relic-boxes","altar-vessels","relic-boxes","حُق ذخيرة | brass | أدوات المذبح | ذخائر وعلب","false"
"old-10068213006643","حُق ذخيرة استانلس وسط","altar-vessels","relic-boxes","altar-vessels","relic-boxes","حُق ذخيرة | brass | أدوات المذبح | ذخائر وعلب","false"
"old-10068212646195","حُق ذخيرة استانلس صغير","altar-vessels","relic-boxes","altar-vessels","relic-boxes","حُق ذخيرة | brass | أدوات المذبح | ذخائر وعلب","false"
"old-10067794067763","إبريق نحاس ذهبي","altar-vessels","altar-sets","altar-vessels","altar-sets","إبريق نحاس | الحجم | المقاس | brass | أدوات المذبح | أواني المذبح","false"
"old-10067690586419","علبة بخور من النحاس شكل دائري","censers-incense","church-incense","censers-incense","church-incense","نحاسيات | علب بخور | brass | الشمع والبخور | أطقم بخور","false"
"old-10067690225971","علبة بخور نحاس علي شكل صليب","censers-incense","church-incense","censers-incense","church-incense","نحاسيات | علب بخور | brass | الشمع والبخور | أطقم بخور","false"
"old-10067689472307","علبة بخور نحاس علي شكل صندوق كنز","censers-incense","church-incense","censers-incense","church-incense","نحاسيات | علب بخور | brass | الشمع والبخور | أطقم بخور","false"
"old-10067686162739","علبة بخور نحاس شكل صندوق عادي","censers-incense","church-incense","censers-incense","church-incense","نحاسيات | علب بخور | الحجم | المقاس | brass | الشمع والبخور | أطقم بخور","false"
"old-10062404354355","علبة بخور نحاس صغيرة شكل مستطيل","censers-incense","church-incense","censers-incense","church-incense","نحاسيات | علب بخور | brass | الشمع والبخور | أطقم بخور","false"
"old-10062400258355","علبة بخور نحاس كبيرة شكل مستطيل","censers-incense","church-incense","censers-incense","church-incense","نحاسيات | علب بخور | brass | الشمع والبخور | أطقم بخور","false"
"reliquary-tubes-papa-kyrillos","أنابيب رفات قديسين زان","altar-vessels","relic-boxes","altar-vessels","relic-boxes","نحاسيات | أنابيب | رفات | خشب زان | brass | أدوات المذبح | ذخائر وعلب","false"
"incense-chat-1500-kg","بخور كنسي فاخر","censers-incense","church-incense","censers-incense","church-incense","شموع وبخور | الوزن | candles | بخور | الشمع والبخور","false"
"old-9840433955123","زوج شمعدان نحاس ذهبي كهرباء شكل الوردة كبير","candles-lamps","candlesticks","candles-lamps","candlesticks","شموع وبخور | candles | أدوات المذبح | شمعدانات","false"
"old-9840425500979","شمعدان نحاس ذهبي سوستة","candles-lamps","candlesticks","candles-lamps","candlesticks","شموع وبخور | candles | أدوات المذبح | شمعدانات","false"
"old-9840420749619","زوج شمعدان نحاس ذهبي شكل الوردة صغير","candles-lamps","candlesticks","candles-lamps","candlesticks","شموع وبخور | candles | أدوات المذبح | شمعدانات","false"
"old-9840413475123","زوج شمعدان نحاس ذهبي شكل الخروف","candles-lamps","candlesticks","candles-lamps","candlesticks","شموع وبخور | candles | أدوات المذبح | شمعدانات","false"
"old-9840407806259","زوج شمعدان برج إيفل نحاس ذهبي ثقيل","candles-lamps","candlesticks","candles-lamps","candlesticks","شموع وبخور | candles | أدوات المذبح | شمعدانات","false"
"old-9762774024499","بشارة ذهبي يوناني","altar-vessels","service-plates","altar-vessels","service-plates","نحاسيات | brass | أدوات المذبح | أدوات خدمة","false"
"old-9762760196403","شورية نحاس ذهبي يوناني","censers-incense","church-incense","censers-incense","church-incense","شموع وبخور | الحجم | المقاس | candles | الشمع والبخور | بخور","false"
"old-9762682011955","طقم أواني مذبح ذهبي يوناني","altar-vessels","altar-sets","altar-vessels","altar-sets","نحاسيات | حجم الكأس | brass | أدوات المذبح | أواني المذبح","false"
"old-9757475930419","أيقونة صليب صدر يوناني ذهبي","crosses","pectoral-crosses","crosses","pectoral-crosses","أيقونات وهدايا | icons | الأيقونات والبراويز | أيقونات صغيرة","false"
"stole-red-gold-01","بطرشيل كنسي أحمر ذهبي - موديل 1","church-vestments","stoles","church-vestments","stoles","أقمشة ومفارش | الطول | التفصيل | vestments | بطرشيلات | الملابس الكنسية","false"
"stole-red-gold-02","بطرشيل كنسي أحمر ذهبي - موديل 2","church-vestments","stoles","church-vestments","stoles","أقمشة ومفارش | الطول | التفصيل | vestments | بطرشيلات | الملابس الكنسية","false"
"stole-red-gold-03","بطرشيل كنسي أحمر ذهبي - موديل 3","church-vestments","stoles","church-vestments","stoles","أقمشة ومفارش | الطول | التفصيل | vestments | بطرشيلات | الملابس الكنسية","false"
"stole-red-gold-04","بطرشيل كنسي أحمر ذهبي - موديل 4","church-vestments","stoles","church-vestments","stoles","أقمشة ومفارش | الطول | التفصيل | vestments | بطرشيلات | الملابس الكنسية","false"
"custom-1783272387022","ألوان اليوطا","occasions-service","christian-games","occasions-service","crafts-coloring","","false"
